,Text,Book,Author,Date,Tags
0,"Today the successes are less spectacular, the cries harder to deny, the promise of utopia ""just around the corner"" more hollow, but we still act as though more control were the answer.",The Ascent of Humanity,Charles Eisenstein,2021-12-27, #controlfreak
1,"As relationships develop, the human brain gains an increasingly sophisticated understanding of one another's speech patterns. It remains a question whether a machine can develop journalistic intuition through data inputs.",Newsmakers: Artificial Intelligance and the Future of Journalism,Francesco Marconi,2021-12-27, #journalisticintuition
2,"Language is our portal to meaning-making, connection, healing, learning, and self-awareness. Having access to the right words can open up entire universes.",Atlas of the Heart,Brene Brown,2021-12-27, #language
3,"Our understanding of...emotions is shaped by how we perceive, categorize, and describe emotional experiences. ",Atlas of the Heart,Brene Brown,2021-12-27, #emotion
4,"Emotions are the description of intangible human feelings, the powerful internal sensations that color our every experience.",Atlas of the Heart,Brene Brown,2021-12-27, #emotion
5,"Get curious about how our families and communities shape our beliefs, about the connection between our feelings, thoughts, and behaviors.""",Atlas of the Heart,Brene Brown,2021-12-27, #curiousity
6,The technology of mind we call language,The Ascent of Humanity,Charles Eisenstein,2021-12-27, #technologyofmind
7,"Consisting of symbols that are connected only arbitrarily to the objects, attributes, and processes they name, language is indeed a separate human realm, a human-created map or representation of reality.",The Ascent of Humanity,Charles Eisenstein,2021-12-27, #language
8,Words deny the uniqueness of each moment and each experience.,The Ascent of Humanity,Charles Eisenstein,2021-12-27, #wordporn
9,"It is when we get lost in the man-made realm of abstractions—statistics, names of countries, figures in accounting ledgers—and believe them to be real that we end up perpetrating violence.",The Ascent of Humanity,Charles Eisenstein,2021-12-27, #statistics
10,"The world vibrates with an unspeakable richness of sound and color. As soon as we try to explain, interpret, or exploit that state, we distance ourselves from immediate reality and the experience vanishes.",The Ascent of Humanity,Charles Eisenstein,2021-12-27, #vibrate
11,"""As soon as a human spoke, he or she was separated. This rupture is the moment of dissolution of the original unity between humanity and nature.""  - John Zerzan",The Ascent of Humanity,Charles Eisenstein,2021-12-27, #nature
12,"Written words foster the illusion that they have objective meanings—definitions—not contingent on the state of speaker and listener...In the same vein, books concretize the belief that knowledge is to be found outside the individual.",The Ascent of Humanity,Charles Eisenstein,2021-12-27, #knowledge
13,"When feeling shame, our inward focus overrides our ability to think about another person's experience. We become unable to offer empathy. We are incapable of processing information about the other person, unless that information specifically pertains to their view of us.",Atlas of the Heart,Brene Brown,2022-01-10, #shame
14,"When we can say what a thing is, or what we are doing, we think we fully grasp and experience it. In point of fact this verbalization—very often it is nothing more than verbalization—tends to cut us off from genuine experience and to obscure our understanding instead of increasing it.",New Seeds of Contemplation,Thomas Merton,2022-02-01, #quotes
15,"To be a writer-translator is to value both being and becoming. What one writes in any given language typically remains as is, but translation pushes it to become otherwise.",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #translator
16,"I’m forced to acknowledge that there is a distance between me and both languages…Writing in another language reactivates the grief of being between two worlds, of being on the outside. Of feeling alone and excluded.",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #writing
17,"It makes me understand, and appreciate, that the inability to see clearly and fully can illuminate the world in a different way. Despite the distance, it can permit me to strike at the heart of things.",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #itmakesmeunderstand
18,"Familiarity, dexterity, and ease with a language can confer another form of blindness. One tends to feel safe, and thus more passive, perhaps even lazy.",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #standup
19,"I also ask myself: Who possesses a language, and why? Is it a question of lineage? Mastery? Use? Affect? Attachment? What does it mean, in the end, to belong to a language?",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #language
20,"…In spite of diligent efforts to organize experiences, emotions, memories, they can’t be packaged, hidden, repressed, filed away…For dreams both contain and set free the roiling matter of our psyches.",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #dreams
21,"And though happiness often involves linking ourselves to other people—in other words, stepping outside the confines of ourselves—it is something, in the final analysis, that characters experience privately, alone.",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #happiness
22,"Writing is a way to salvage life, to give it form and meaning. It exposes what we have hidden, unearths what we have neglected, misremembered, denied. It is a method of capturing, of pinning down, but it is also a form of truth, of liberation.",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #writing
23,In the end it is language itself that is the most problematic container; it holds too much and too little at the same time.,Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #language
24,Scarcely one in ten of the nouns in the first few pages of the Poetics has an exact English equivalent,Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #poetics
25,"The desire to translate—to press up as closely as possible to the words of another, to cross the threshold of one’s consciousness—is keener when the other remains inexorably, incontrovertibly out of reach.",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #translation
26,"We write books in a fixed moment in time, in a specific phase of our consciousness and development. That is why reading words written years ago feels alienating. You are no longer the person whose existence depended on the production of those words. But alienation, for better or for worse, establishes distance, and grants perspective, two things that are particularly crucial to the act of self-translation.",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #translation
27,"We must enter, instead, into a more profound relationship with words—we must descend with them to a deeper level, uncovering layers of alternatives in a hidden and hermetic realm. The only way to even begin to understand language is to love it so much that we allow it to confound us and to torment us to the extent that it threatens to swallow us whole.",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #torment
28,"From book to book, this type of revelation is what translating my friend’s work has taught me about language and about words—that they change as we blink and that they are rich with alternatives.",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #translatingmyfriend
29,…One realizes that every interpersonal relationship can be read as a form of translation.,Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #translation
30,"The knowledge of several languages and the ability, therefore, to express in one language what cannot be said in another, or cannot at least be expressed so succinctly or concisely, or which we cannot find as quickly in another language, makes it easier for us to articulate our thoughts and to understand ourselves, and to apply the word to the idea, which, without that application, would remain confused in our minds.",Translating Myself and Others,Jhumpa Lahiri,2022-06-29, #language
31,"Worse still, I felt then, was the betrayal of language in translation. Why didn't English have a better word than ""Word"" if ""Word"" was not precise enough? I started to approach my Bible with suspicion. What else had I missed?",Transcendent Kingdom,Yaa Gyasi,2022-07-19, #word
32,"And now that you have learned that something you thought was true was never true at all, every idea that you hold firm comes into question. If the Earth is round, then is God real? Literalism is helpful in the fight against change.",Transcendent Kingdom,Yaa Gyasi,2022-07-19, #change
33,"I'm writing about the other time, though, deep time. This is a big, big story. The big stuff goes forever, time ropes and loops and is never straight, that's the real story of time.",The Yield,Tara June Winch,2022-07-31, #deeptime
34,The dictionary is not just words—there are little stories in those pages too.,The Yield,Tara June Winch,2022-07-31, #dictionary
35,"He said, ""Yandu [(yet, if, then, when, at the time)], son, is the glue of your stories.""",The Yield,Tara June Winch,2022-07-31, #yanduson
36,"Understand—gulbarra  Our whole lives are spent doing that, trying to understand and be understood.",The Yield,Tara June Winch,2022-07-31, #understand
37,"It was too late to tell anyone. How she was scared to leave, even more scared to stay. Because of the things she saw, those things that changed her tongue. Those things that were dead and done.",The Yield,Tara June Winch,2022-07-31, #things
38,"Making conclusions about a book's quality from a 175-word review is hard work for artificial intelligences, whereas star ratings are ideal for them.",The Anthropocene Reviewed,John Green,2022-08-08, #ai
39,I know now with a viscerality I didn't before that consciousness is temporary and precarious. It's not a metaphor to say that human life is a balancing act.,The Anthropocene Reviewed,John Green,2022-08-08, #consciousness
40,"I wonder if you have people like that in your life, people whose love keeps you going even though they are distant now because of time and geography and everything else that comes between us. ",The Anthropocene Reviewed,John Green,2022-08-08, #love
41,"Rivers keep going, and we keep going, and there is no way back to the rook of that hotel. But the memory still holds me together.",The Anthropocene Reviewed,John Green,2022-08-08, #memories
42,"I am thoughtful—full of thoughts, all the time, inescapably, exhaustingly. But I am also mindless—acting in accordance with default dettings I neither understand nor examine.",The Anthropocene Reviewed,John Green,2022-08-08, #thoughtful
43,"Way back in 1974, [Kurt Vonnegut] wrote, ""What should young people do with their lives today? Many things, obviously. But the most daring thing is to create stable communities in which the terrible disease of loneliness can be cured. ",The Anthropocene Reviewed,John Green,2022-08-08, #loneliness
44,There's a certain way I talk about the things I don't talk about. Maybe that's true for all of us. We have ways of closing off the conversation so that we don't ever get directly asked what we can't bear to answer.,The Anthropocene Reviewed,John Green,2022-08-08, #whatshouldwesay
45,"One of the strange things about adulthood is that you are your current self, but you are also all the selves you used to be, the ones you grew out of but can't ever quite get rid of.",The Anthropocene Reviewed,John Green,2022-08-08, #adulthood
46,"As Elaine Scarry argues in her book The Body in Pain, physical pain doesn't just evade language. It destroys language. When we are really hurting, after all, we can't speak. We can only moan and cry/",The Anthropocene Reviewed,John Green,2022-08-08, #bodyinpain
47,"Even though I myself had the pain, I can't fully empathize with the me who had it, because now I am a different me, with different pangs and discomforts. I am grateful that my head doesn't hurt, but not in the way I would have been grateful if, in the midst of the pain, it had suddenly disappeared. Maybe we forget so that we can go on.",The Anthropocene Reviewed,John Green,2022-08-08, #thankyou
48,"I will, sooner or later, be the everything that is part of everything else. But until then: What an astonishment to breath on this breathing planet. What a blessing to be Earth loving Earth.",The Anthropocene Reviewed,John Green,2022-08-08, #earth
49,"Like any magic, you have to be careful with a magical song—listen to it too often, and it will become routine. You'll hear the chord changes before they come, and the song will lose its ability to surprise and teleport you. But if I'm judicious with a magical song, it can take me back to places more vividly than any other form of memory.",The Anthropocene Reviewed,John Green,2022-08-08, #magical
50,"I'm forty-one. For Sarah and me, the song now sounds like being in love all those years ago, when we were each other's new partners, and it also sounds like our love now. It's a bridge between that life and this one. We're playing ""New Partner"" for our now nine-year-old son for the first time, and Sarah and I can't help but smile a little giddily at each other. We start dancing together slowly in the kitchen despite our son's gagging noises, and we sing along, Sarah on-key and me way off-. At the end of the song, I ask my son if he liked it and he says, ""A little.""",The Anthropocene Reviewed,John Green,2022-08-08, #newpartner
51,"After one of my books became commerically successful, for instance, my bank called to inform me that I would no longer be charged ATM fees, even if I used an ATM from a different bank. Why? Because people with money in the bank get all kinds of perks just for having money in the bank. Then there are the much bigger power-ups, like the graduating-from-college-with-no-debt-power-up, or the being-white-power-up, or the being-male-power-up. This doesn't mean that people with good power-ups will succeed, of course, or that those without them won't. But I don't buy the argument that these structural power-ups are irrelevant. The fact that our political, social, and economic systems are biased in favor of the already rich and the already powerful is the single greatest failure of the American democratic ideal. I have benefited from this, directly and profoundly, for my entire life. Almost every time I've driven through a question box in my life, I've been given at the very least a red turtle shell. It happens so routinely that it's easy for those of us who benefit from these power-ups to see them as fair. But if I don't grapple with the reality that I owe much of my success to injustice, I'll only further the hoarding of wealth and opportunity.",The Anthropocene Reviewed,John Green,2022-08-08, #powerup
52,"You don’t talk here, but even if you did, the words would fail you, language insufficient to reflect the intense mess of being this intimate with another.",Open Water,Caleb Azumah Nelson,2022-08-10, #languageinsufficient
53,"You read it to her, a few weeks after you met. It wasn't the first piece you read but it was more honest, it was more you. It was trauma, yes, but it was you and you were OK with her consuming it. You handed her the work and that was sufficient. You didn't need to explain to her that you felt joy too, that you were angry, you were scared, that walking home in the night worried you sometimes, because you didn't know which fate would meet you, the one who looked like you or the one who couldn't see you, or couldn't see you as you were meant to be seen, or whether you would arrive home without incident, and live to fear another day.",Open Water,Caleb Azumah Nelson,2022-08-10, #writing
54,"You don't have music, but you do have your way of seeing her. You do have a way of capturing her peaceful and energetic rhythm. You do have a way of portraying her joy. You do have words.",Open Water,Caleb Azumah Nelson,2022-08-10, #music
55,"Returning from Dublin, on the train home, you don't know you're crying until the ugly splotches appear on the pages. Caught fast in your throat, syllables being rounded out and smoothed, language descending into noise. This is how you say those things for which there are no words. ",Open Water,Caleb Azumah Nelson,2022-08-10, #thebookofwhy
56,"Love as a form of meditation; reaching towards a more honest expression of self. Remember that your body has memory. Scars do not always blemish. You kiss them and call her pretty. You're always surprised by the substance of her under your fingers. You want to lie beside her in the darkness and whisper your truths to her: To my queen, forever is a mighty long time, but I knew you before I met you, so now we're free. You didn't have a home coming into this world, but you're home now. You're home now.",Open Water,Caleb Azumah Nelson,2022-08-10, #home
57,"If you give a name to this day does that mean this life is yours? To name: basic, audacious. Lay claim, take power, take aim, this is yours. This act is like bringing a butter knife to a gunfight.",Open Water,Caleb Azumah Nelson,2022-08-10, #butterknife
