,word,topic_id,importance,word_count,Dominant_Topic,Topic_Perc_Contrib,Keywords
0,language,0,0.014954168,0,9.0,0.95,"things, time, humility, cultivate, life, way, powerups, bank, people, word"
1,never,0,0.010414613,0,7.0,0.9571,"us, understanding, knowing, reactions, selfawareness, experience, go, let, verbalization, often"
2,words,0,0.010233426,0,1.0,0.9357,"would, could, knew, believed, break, believe, language, words, time, real"
3,pain,0,0.0073731677,0,9.0,0.9,"things, time, humility, cultivate, life, way, powerups, bank, people, word"
4,information,0,0.007373156,0,6.0,0.925,"would, see, talk, powerful, understand, home, first, angry, didnt, sometimes"
5,idaho,0,0.007126467,0,3.0,0.9182,"didnt, shape, would, like, us, mind, moment, made, never, kept"
6,im,0,0.0070400992,0,3.0,0.82,"didnt, shape, would, like, us, mind, moment, made, never, kept"
7,question,0,0.0051173586,0,8.0,0.95,"form, always, many, song, mind, another, moment, lose, father, would"
8,think,0,0.0047778725,0,9.0,0.85,"things, time, humility, cultivate, life, way, powerups, bank, people, word"
9,part,0,0.004571773,0,1.0,0.95,"would, could, knew, believed, break, believe, language, words, time, real"
10,would,1,0.009636972,0,9.0,0.6082,"things, time, humility, cultivate, life, way, powerups, bank, people, word"
11,could,1,0.009096663,0,8.0,0.9357,"form, always, many, song, mind, another, moment, lose, father, would"
12,knew,1,0.0072710235,0,0.0,0.9571,"language, never, words, pain, information, idaho, im, question, think, part"
13,believed,1,0.0067566684,0,0.0,0.964,"language, never, words, pain, information, idaho, im, question, think, part"
14,break,1,0.0067228423,0,7.0,0.9609,"us, understanding, knowing, reactions, selfawareness, experience, go, let, verbalization, often"
15,believe,1,0.0063776216,0,2.0,0.925,"way, another, time, people, us, would, different, language, someone, change"
16,language,1,0.006292846,0,1.0,0.9437,"would, could, knew, believed, break, believe, language, words, time, real"
17,words,1,0.0062341355,0,6.0,0.95,"would, see, talk, powerful, understand, home, first, angry, didnt, sometimes"
18,time,1,0.0061107515,0,8.0,0.9471,"form, always, many, song, mind, another, moment, lose, father, would"
19,real,1,0.0059113754,0,0.0,0.94,"language, never, words, pain, information, idaho, im, question, think, part"
20,way,2,0.009786404,0,2.0,0.9591,"way, another, time, people, us, would, different, language, someone, change"
21,another,2,0.009699575,0,4.0,0.9571,"words, relationships, people, part, language, everything, earth, book, support, emotional"
22,time,2,0.0094467765,0,9.0,0.9571,"things, time, humility, cultivate, life, way, powerups, bank, people, word"
23,people,2,0.009317058,0,9.0,0.9,"things, time, humility, cultivate, life, way, powerups, bank, people, word"
24,us,2,0.009104793,0,6.0,0.91,"would, see, talk, powerful, understand, home, first, angry, didnt, sometimes"
25,would,2,0.008485084,0,5.0,0.9471,"im, better, think, words, like, take, obvious, lazy, name, past"
26,different,2,0.008205761,0,4.0,0.9757,"words, relationships, people, part, language, everything, earth, book, support, emotional"
27,language,2,0.007735157,0,2.0,0.9743,"way, another, time, people, us, would, different, language, someone, change"
28,someone,2,0.0075989855,0,4.0,0.9437,"words, relationships, people, part, language, everything, earth, book, support, emotional"
29,change,2,0.00700852,0,8.0,0.9,"form, always, many, song, mind, another, moment, lose, father, would"
30,didnt,3,0.009371579,0,2.0,0.9727,"way, another, time, people, us, would, different, language, someone, change"
31,shape,3,0.008921725,0,9.0,0.9571,"things, time, humility, cultivate, life, way, powerups, bank, people, word"
32,would,3,0.008860685,0,8.0,0.9571,"form, always, many, song, mind, another, moment, lose, father, would"
33,like,3,0.008398124,0,1.0,0.9609,"would, could, knew, believed, break, believe, language, words, time, real"
34,us,3,0.008269056,0,5.0,0.8714,"im, better, think, words, like, take, obvious, lazy, name, past"
35,mind,3,0.00824752,0,9.0,0.8875,"things, time, humility, cultivate, life, way, powerups, bank, people, word"
36,moment,3,0.006921757,0,6.0,0.9,"would, see, talk, powerful, understand, home, first, angry, didnt, sometimes"
37,made,3,0.0064558755,0,9.0,0.9471,"things, time, humility, cultivate, life, way, powerups, bank, people, word"
38,never,3,0.006294641,0,3.0,0.94,"didnt, shape, would, like, us, mind, moment, made, never, kept"
39,kept,3,0.006191399,0,2.0,0.9308,"way, another, time, people, us, would, different, language, someone, change"
40,words,4,0.020753173,0,2.0,0.9526,"way, another, time, people, us, would, different, language, someone, change"
41,relationships,4,0.007784947,0,2.0,0.9357,"way, another, time, people, us, would, different, language, someone, change"
42,people,4,0.0077072955,0,2.0,0.9437,"way, another, time, people, us, would, different, language, someone, change"
43,part,4,0.0067449478,0,9.0,0.9591,"things, time, humility, cultivate, life, way, powerups, bank, people, word"
44,language,4,0.006586161,0,6.0,0.9609,"would, see, talk, powerful, understand, home, first, angry, didnt, sometimes"
45,everything,4,0.0064617945,0,1.0,0.9437,"would, could, knew, believed, break, believe, language, words, time, real"
46,earth,4,0.006161564,0,0.0,0.955,"language, never, words, pain, information, idaho, im, question, think, part"
47,book,4,0.006161529,0,2.0,0.964,"way, another, time, people, us, would, different, language, someone, change"
48,support,4,0.0055839936,0,4.0,0.94,"words, relationships, people, part, language, everything, earth, book, support, emotional"
49,emotional,4,0.0052904403,0,8.0,0.97,"form, always, many, song, mind, another, moment, lose, father, would"
50,im,5,0.01517168,0,9.0,0.983,"things, time, humility, cultivate, life, way, powerups, bank, people, word"
51,better,5,0.010913402,0,9.0,0.9911,"things, time, humility, cultivate, life, way, powerups, bank, people, word"
52,think,5,0.010847488,0,2.0,0.9308,"way, another, time, people, us, would, different, language, someone, change"
53,words,5,0.00846016,0,6.0,0.9824,"would, see, talk, powerful, understand, home, first, angry, didnt, sometimes"
54,like,5,0.008267445,0,2.0,0.9357,"way, another, time, people, us, would, different, language, someone, change"
55,take,5,0.007865644,0,4.0,0.964,"words, relationships, people, part, language, everything, earth, book, support, emotional"
